site_id,site_name,timestamp,NO (µg/m³),NO_percentage,NO_flag,NO2 (µg/m³),NO2_flag,NO2_percentage,NOx (ppb),NOx_flag,NOx_percentage,original_40,Ozone (µg/m³),Ozone_flag,Ozone_percentage,PM10 (µg/m³),PM10_flag,PM10_percentage,PM2.5 (µg/m³),PM2.5_flag,PM25_percentage,year
site_5398,Navy Nagar-Colaba Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5399,Chakala-Andheri East Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5400,Borivali East Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5401,Sector-19A Nerul Navi Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5402,Malad West Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5403,Siddharth Nagar-Worli Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5412,Kandivali East Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5413,Mulund West Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5417,Pan Bazaar Guwahati,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5423,Jawahar Nagar Puducherry,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5424,Rajbagh Srinagar,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5446,Naharlagun Naharlagun,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5449,Sardar Vallabhbhai Patel Stadium Ahmedabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5450,Gyaspur Ahmedabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5451,Rakhial Ahmedabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5452,Raikhad Ahmedabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5453,Chandkheda Ahmedabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5454,SAC ISRO Bopal Ahmedabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5455,SAC ISRO Satellite Ahmedabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5456,SVPI Airport Hansol Ahmedabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5457,IIPHG Lekawada Gandhinagar,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5458,GIFT City Gandhinagar,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5459,Motilal Nehru NIT Prayagraj,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5460,B R Ambedkar University Lucknow,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5461,Jhunsi Prayagraj,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5462,Kukrail Picnic Spot-1 Lucknow,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5463,Shastripuram Agra,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5464,Manoharpur Agra,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5465,Sector-3B Avas Vikas Colony Agra,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5468,IESD Banaras Hindu University Varanasi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5469,Bhelupur Varanasi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5472,Madan Mohan Malaviya University of Technology Gorakhpur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5474,NSI Kalyanpur Kanpur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5475,Maldahiya Varanasi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5476,Kamalnath Nagar Bettiah,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5477,Town Hall Lal Bagh Darbhanga,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5478,Gandak Colony Motihari,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
